epsd_form,etcsl_form,etcsri_form,comp1_wr
guguru[trim] dug[speak],,,
gumgam[sound] za[cvve],,,
guruš[cvne] bur[glow],guruš[cut] bur[spread],,
haš[thigh] bad[open],,,haš₄ haš₂
haš[thigh] dab[seize],,,haš₄ haš₂
haš[thigh] dug[speak],,,haš₄ haš₂
haš[thigh] ŋar[place],,,haš₄ haš₂
haš[thigh] gid[drag],haš[thigh] gid[long],,haš₄ haš₂
haš[thigh] rah[beat],,,haš₄ haš₂
haš[thigh] tal[broad],,,haš₄ haš₂
HI[cvne] la[hang],,,
hili[luxuriant] kar[flee],hili[attractiveness] kar[flee],,hi-li
hili[luxuriant] teŋ[approach],hili[attractiveness] teŋ[approach],,hi-li
hub[foot] gub[stand],,,hub₂
hub[foot] sar[run],,,hub₂
hub[foot] šuš[cover],,,hub₂
hulu[bad] gig[sick],,,hul
hulu[bad] tuku[acquire],,,hul
hunha[noise] za[cvve],,,hu-un-ha
i[oil] sur[press],,,i₃
ig[door] gub[stand],,,
igi[eye] bad[open],,,igi
igi[eye] bar[cvve],igi[eye] bar[outside],,igi
igi[eye] duh[loosen],igi[eye] du[spread],,igi
igi[eye] ŋal[be],,,igi
igi[eye] ŋar[place],,,igi
igi[eye] gid[long],,,igi
igi[eye] gub[stand],,igi[face] gub[stand],igi
igi[eye] hulu[bad],,,igi
igi[eye] il[raise],,,igi
igi[eye] kar[blow],,,igi
igi[eye] la[hang],,,igi
igi[eye] lib[dazed],igi[eye] lib[daze],,igi
igi[eye] rugu[withstand],,,igi
igi[eye] saŋ[cvve],,,igi
igi[eye] sag[good],,,igi
igi[eye] sig[place],igi[eye] sig[put],,igi
igi[eye] suh[extract],,,igi
igi[eye] tab[double],,,igi
igi[eye] tum[bring],igi[eye] de[bring],,igi
in[abuse] dub[tremble],,,in
in[sector] dub[heap],,,in
inim[word] bala[turn],,,inim
inim[word] ŋal[be],,,inim
inim[word] ŋar[place],,,inim
inim[word] gi[turn],,,inim
inim[word] gin[establish],inim[word] gin[firm],,inim
inim[word] hulu[bad],,,inim
inim[word] šar[3600],,,inim
