,all_middle,comp_text,compound,id_text,line_id,line_label,link,middle_terms,nom_suff
5,-ba:,a?-ba mu-un-da-a??-e,a[arm] a?[measure],c.1.2.2,28,A28,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.1.2.2&display=Crit&charenc=gcirc#,,-ba
96,-bi:,a?-bi a??-?a?,a[arm] a?[measure],c.4.07.3,145,156,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.4.07.3&display=Crit&charenc=gcirc#,,-bi
35,-bi:,a?-bi ha-ba-an-a??-eš-am?,a[arm] a?[measure],c.2.2.4,245,245,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.2.4&display=Crit&charenc=gcirc#,,-bi
29,-bi:,a?-bi he?-em-ma-an-a??-eš,a[arm] a?[measure],c.2.2.2,163,161,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.2.2&display=Crit&charenc=gcirc#,,-bi
30,-bi:,a?-bi he?-em-ma-an-a??-eš,a[arm] a?[measure],c.2.2.2,164,162,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.2.2&display=Crit&charenc=gcirc#,,-bi
48,-bi:,a?-bi hu-mu-da-na-a??,a[arm] a?[measure],c.2.5.4.01,132,A132,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.5.4.01&display=Crit&charenc=gcirc#,,-bi
33,-bi:,a?-bi i?-a??-?a?-a-ke?,a[arm] a?[measure],c.2.2.4,135,135,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.2.4&display=Crit&charenc=gcirc#,,-bi
22,-bi:,a?-bi mu-da-an-a??,a[arm] a?[measure],c.2.1.6,12,12,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.1.6&display=Crit&charenc=gcirc#,,-bi
23,-bi:,a?-bi mu-da-an-a??,a[arm] a?[measure],c.2.1.6,16,16,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.1.6&display=Crit&charenc=gcirc#,,-bi
67,-bi:,a?-bi mu-da-an-a??,a[arm] a?[measure],c.2.6.7.1,52,52,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.6.7.1&display=Crit&charenc=gcirc#,,-bi
100,-bi:,a?-bi mu-da-an-a??,a[arm] a?[measure],c.4.14.1,250,250,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.4.14.1&display=Crit&charenc=gcirc#,,-bi
0,-bi:,a?-bi mu-da-an-a??,a[arm] a?[measure],etcsri/Q000376,23,23,,,-bi
1,-bi:,a?-bi mu-da-an-a??,a[arm] a?[measure],etcsri/Q000376,31,31,,,-bi
63,-bi:,a?-bi mu-e-da-a-a??,a[arm] a?[measure],c.2.5.6.2,12,12,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.5.6.2&display=Crit&charenc=gcirc#,,-bi
46,-bi:,a?-bi mu-e-da-an-a??,a[arm] a?[measure],c.2.5.3.2,11,11,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.5.3.2&display=Crit&charenc=gcirc#,,-bi
18,-bi:,a?-bi mu-un-da-an-a??,a[arm] a?[measure],c.1.8.1.4,363,8,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.1.8.1.4&display=Crit&charenc=gcirc#,,-bi
52,-bi:,a?-bi mu-un-da-an-a??,a[arm] a?[measure],c.2.5.4.09,5,5,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.5.4.09&display=Crit&charenc=gcirc#,,-bi
62,-bi:,a?-bi mu-un-da-an-a??,a[arm] a?[measure],c.2.5.6.1,84,84,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.5.6.1&display=Crit&charenc=gcirc#,,-bi
37,-bi:,a?-bi mu-u?-da-a??,a[arm] a?[measure],c.2.4.1.2,10,10,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.4.1.2&display=Crit&charenc=gcirc#,,-bi
50,-zu:,a?-zu mu-da-X-a??,a[arm] a?[measure],c.2.5.4.05,33,C5,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.5.4.05&display=Crit&charenc=gcirc#,,-zu
43,-zu:,a?-zu mu-da-an-a??,a[arm] a?[measure],c.2.4.2.18,4,4,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.4.2.18&display=Crit&charenc=gcirc#,,-zu
71,-še?:,a?-še? mu-e-da-a-a??,a[arm] a?[measure],c.3.1.01,8,8,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.3.1.01&display=Crit&charenc=gcirc#,,-še?
74,-še?:,a?-še? mu-e-da-a-a??,a[arm] a?[measure],c.3.1.02,16,16,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.3.1.02&display=Crit&charenc=gcirc#,,-še?
85,-še?:,a?-še? mu-e-da-a-a??,a[arm] a?[measure],c.3.1.17,4,4,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.3.1.17&display=Crit&charenc=gcirc#,,-še?
82,-še?:,a?-še? mu-e-da-a??,a[arm] a?[measure],c.3.1.16,23,23,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.3.1.16&display=Crit&charenc=gcirc#,,-še?
79,-še?:ki?[work],a?-še? ki??-še? mu-e-da-a??,a[arm] a?[measure],c.3.1.15,8,8,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.3.1.15&display=Crit&charenc=gcirc#,ki?[work],-še?
76,:,a ga-zi,a[arm] a?[measure],c.3.1.08,67,36,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.3.1.08&display=Crit&charenc=gcirc#,,
77,:,a mu-da-an-a??,a[arm] a?[measure],c.3.1.10,12,12,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.3.1.10&display=Crit&charenc=gcirc#,,
118,:,a? al-a??-e,a[arm] a?[measure],c.5.4.11,19,A19,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.5.4.11&display=Crit&charenc=gcirc#,,
1,:,a? a??,a[arm] a?[measure],c.0.2.13,15,15,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.0.2.13&display=Crit&charenc=gcirc#,,
10,:,a? a??,a[arm] a?[measure],c.1.3.5,31,B22,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.1.3.5&display=Crit&charenc=gcirc#,,
65,:,a? a??,a[arm] a?[measure],c.2.5.7.2,15,B1,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.5.7.2&display=Crit&charenc=gcirc#,,
88,:,a? a??,a[arm] a?[measure],c.3.3.09,6,6,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.3.3.09&display=Crit&charenc=gcirc#,,
27,:,a? a??-ba,a[arm] a?[measure],c.2.1.7,709,711,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.1.7&display=Crit&charenc=gcirc#,,
32,:,a? a??-e,a[arm] a?[measure],c.2.2.3,460,453,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.2.3&display=Crit&charenc=gcirc#,,
47,:,a? a??-e,a[arm] a?[measure],c.2.5.4.01,15,A15,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.5.4.01&display=Crit&charenc=gcirc#,,
54,:,a? a??-e,a[arm] a?[measure],c.2.5.4.17,27,B7,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.5.4.17&display=Crit&charenc=gcirc#,,
104,:,a? a??-e-de?,a[arm] a?[measure],c.4.27.02,6,A6,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.4.27.02&display=Crit&charenc=gcirc#,,
59,:,a? a??-ta,a[arm] a?[measure],c.2.5.5.5,7,7,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.5.5.5&display=Crit&charenc=gcirc#,,
83,:,a? a??-ta,a[arm] a?[measure],c.3.1.16,35,35,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.3.1.16&display=Crit&charenc=gcirc#,,
58,:,a? a??-zu,a[arm] a?[measure],c.2.5.5.5,7,7,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.5.5.5&display=Crit&charenc=gcirc#,,
0,:,a? a??-?a?,a[arm] a?[measure],c.0.2.01,57,57,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.0.2.01&display=Crit&charenc=gcirc#,,
6,:,a? a??-?a?,a[arm] a?[measure],c.1.2.2,44,A44,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.1.2.2&display=Crit&charenc=gcirc#,,
14,:,a? a??-?a?,a[arm] a?[measure],c.1.8.1.3,298,F17,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.1.8.1.3&display=Crit&charenc=gcirc#,,
15,:,a? a??-?a?,a[arm] a?[measure],c.1.8.1.3,373,F111,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.1.8.1.3&display=Crit&charenc=gcirc#,,
16,:,a? a??-?a?,a[arm] a?[measure],c.1.8.1.4,247,245,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.1.8.1.4&display=Crit&charenc=gcirc#,,
17,:,a? a??-?a?,a[arm] a?[measure],c.1.8.1.4,249,247,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.1.8.1.4&display=Crit&charenc=gcirc#,,
19,:,a? a??-?a?,a[arm] a?[measure],c.1.8.2.2,360,355,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.1.8.2.2&display=Crit&charenc=gcirc#,,
21,:,a? a??-?a?,a[arm] a?[measure],c.1.8.2.4,122,A117,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.1.8.2.4&display=Crit&charenc=gcirc#,,
39,:,a? a??-?a?,a[arm] a?[measure],c.2.4.2.02,149,149,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.4.2.02&display=Crit&charenc=gcirc#,,
49,:,a? a??-?a?,a[arm] a?[measure],c.2.5.4.01,181,A181,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.5.4.01&display=Crit&charenc=gcirc#,,
51,:,a? a??-?a?,a[arm] a?[measure],c.2.5.4.08,2,2,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.5.4.08&display=Crit&charenc=gcirc#,,
53,:,a? a??-?a?,a[arm] a?[measure],c.2.5.4.17,13,A12,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.5.4.17&display=Crit&charenc=gcirc#,,
57,:,a? a??-?a?,a[arm] a?[measure],c.2.5.4.23,124,B9,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.5.4.23&display=Crit&charenc=gcirc#,,
66,:,a? a??-?a?,a[arm] a?[measure],c.2.5.8.1,128,134,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.5.8.1&display=Crit&charenc=gcirc#,,
68,:,a? a??-?a?,a[arm] a?[measure],c.2.8.2.6,12,12,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.8.2.6&display=Crit&charenc=gcirc#,,
70,:,a? a??-?a?,a[arm] a?[measure],c.2.8.5.1,7,7,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.8.5.1&display=Crit&charenc=gcirc#,,
72,:,a? a??-?a?,a[arm] a?[measure],c.3.1.01,25,25,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.3.1.01&display=Crit&charenc=gcirc#,,
73,:,a? a??-?a?,a[arm] a?[measure],c.3.1.02,4,4,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.3.1.02&display=Crit&charenc=gcirc#,,
75,:,a? a??-?a?,a[arm] a?[measure],c.3.1.08,28,B18,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.3.1.08&display=Crit&charenc=gcirc#,,
78,:,a? a??-?a?,a[arm] a?[measure],c.3.1.11,9,8,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.3.1.11&display=Crit&charenc=gcirc#,,
84,:,a? a??-?a?,a[arm] a?[measure],c.3.1.16,43,43,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.3.1.16&display=Crit&charenc=gcirc#,,
89,:,a? a??-?a?,a[arm] a?[measure],c.3.3.09,6,6,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.3.3.09&display=Crit&charenc=gcirc#,,
90,:,a? a??-?a?,a[arm] a?[measure],c.3.3.09,6,6,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.3.3.09&display=Crit&charenc=gcirc#,,
91,:,a? a??-?a?,a[arm] a?[measure],c.3.3.09,6,6,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.3.3.09&display=Crit&charenc=gcirc#,,
92,:,a? a??-?a?,a[arm] a?[measure],c.4.05.1,9,9,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.4.05.1&display=Crit&charenc=gcirc#,,
93,:,a? a??-?a?,a[arm] a?[measure],c.4.05.1,107,107,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.4.05.1&display=Crit&charenc=gcirc#,,
94,:,a? a??-?a?,a[arm] a?[measure],c.4.07.2,19,19,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.4.07.2&display=Crit&charenc=gcirc#,,
97,:,a? a??-?a?,a[arm] a?[measure],c.4.07.3,180,199,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.4.07.3&display=Crit&charenc=gcirc#,,
101,:,a? a??-?a?,a[arm] a?[measure],c.4.19.1,32,32,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.4.19.1&display=Crit&charenc=gcirc#,,
107,:,a? a??-?a?,a[arm] a?[measure],c.4.29.2,32,61,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.4.29.2&display=Crit&charenc=gcirc#,,
108,:,a? a??-?a?,a[arm] a?[measure],c.4.29.2,35,64,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.4.29.2&display=Crit&charenc=gcirc#,,
109,:,a? a??-?a?,a[arm] a?[measure],c.5.1.3,4,4,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.5.1.3&display=Crit&charenc=gcirc#,,
110,:,a? a??-?a?,a[arm] a?[measure],c.5.1.3,13,13,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.5.1.3&display=Crit&charenc=gcirc#,,
119,:,a? a??-?a?,a[arm] a?[measure],c.6.1.18,21,A33,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.6.1.18&display=Crit&charenc=gcirc#,,
120,:,a? a??-?a?,a[arm] a?[measure],c.6.2.1,289,1,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.6.2.1&display=Crit&charenc=gcirc#,,
56,:,a? a??-?a?-bi,a[arm] a?[measure],c.2.5.4.23,118,B3,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.5.4.23&display=Crit&charenc=gcirc#,,
61,:,a? a??-?a?-bi,a[arm] a?[measure],c.2.5.6.1,22,22,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.5.6.1&display=Crit&charenc=gcirc#,,
99,:,a? a??-?a?-bi,a[arm] a?[measure],c.4.14.1,183,183,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.4.14.1&display=Crit&charenc=gcirc#,,
69,:,a? a??-?a?-e,a[arm] a?[measure],c.2.8.2.6,18,18,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.8.2.6&display=Crit&charenc=gcirc#,,
111,:,a? a??-?a?-kam,a[arm] a?[measure],c.5.1.3,14,14,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.5.1.3&display=Crit&charenc=gcirc#,,
102,:,a? a??-?a?-ni,a[arm] a?[measure],c.4.19.1,33,33,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.4.19.1&display=Crit&charenc=gcirc#,,
113,:,a? a??-?a?-ni,a[arm] a?[measure],c.5.1.3,15,15,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.5.1.3&display=Crit&charenc=gcirc#,,
44,:,a? a??-?a?-ni-ta,a[arm] a?[measure],c.2.4.2.25,19,18,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.4.2.25&display=Crit&charenc=gcirc#,,
95,:,a? a??-?a?-ni-še?,a[arm] a?[measure],c.4.07.3,6,6,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.4.07.3&display=Crit&charenc=gcirc#,,
112,:,a? a??-?a?-ni-še?,a[arm] a?[measure],c.5.1.3,15,15,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.5.1.3&display=Crit&charenc=gcirc#,,
64,:,a? a??-?a?-zu,a[arm] a?[measure],c.2.5.6.5,35,35,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.5.6.5&display=Crit&charenc=gcirc#,,
86,:,a? a??-?a?-zu,a[arm] a?[measure],c.3.3.08,5,5,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.3.3.08&display=Crit&charenc=gcirc#,,
87,:,a? a??-?a?-zu,a[arm] a?[measure],c.3.3.08,18,18,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.3.3.08&display=Crit&charenc=gcirc#,,
60,:,a? a??-?a?-zu-ne-ne,a[arm] a?[measure],c.2.5.6.1,19,19,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.5.6.1&display=Crit&charenc=gcirc#,,
24,:,a? a??-?a?-?a?,a[arm] a?[measure],c.2.1.7,271,271,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.1.7&display=Crit&charenc=gcirc#,,
2,:,a? a??-?a?-?a?,a[arm] a?[measure],etcsri/Q000377,65,Cylinder A x 24,,,
38,:,a? a??-?a?-?u??,a[arm] a?[measure],c.2.4.1.3,81,81,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.4.1.3&display=Crit&charenc=gcirc#,,
81,:,a? a??-?a?-?u??,a[arm] a?[measure],c.3.1.16,4,4,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.3.1.16&display=Crit&charenc=gcirc#,,
103,:,a? a??-?a?-?u??,a[arm] a?[measure],c.4.22.1,129,129,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.4.22.1&display=Crit&charenc=gcirc#,,
117,:,a? ba-an-da-a??,a[arm] a?[measure],c.5.3.6,37,A66,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.5.3.6&display=Crit&charenc=gcirc#,,
20,:,a? ba-da-an-a??,a[arm] a?[measure],c.1.8.2.3,429,421,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.1.8.2.3&display=Crit&charenc=gcirc#,,
31,:,a? ba-da-an-a??,a[arm] a?[measure],c.2.2.2,177,175,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.2.2&display=Crit&charenc=gcirc#,,
5,:,a? e-na-a??,a[arm] a?[measure],etcsri/Q001067,13,ii 3,,,
114,:,a? he?-mu-e-da-a-a-a??,a[arm] a?[measure],c.5.1.3,45,45,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.5.1.3&display=Crit&charenc=gcirc#,,
9,:,a? im-ma-an-a??,a[arm] a?[measure],c.1.3.1,42,B13,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.1.3.1&display=Crit&charenc=gcirc#,,
12,:,a? im-ma-an-a??,a[arm] a?[measure],c.1.6.2,161,160,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.1.6.2&display=Crit&charenc=gcirc#,,
13,:,a? im-ma-a??,a[arm] a?[measure],c.1.6.2,210,220,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.1.6.2&display=Crit&charenc=gcirc#,,
45,:,a? im-mi-in-a??,a[arm] a?[measure],c.2.5.1.2,77,F5,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.5.1.2&display=Crit&charenc=gcirc#,,
42,:,a? mu-da-an-a??,a[arm] a?[measure],c.2.4.2.07,8,8,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.4.2.07&display=Crit&charenc=gcirc#,,
115,:,a? mu-da-an-a??-e,a[arm] a?[measure],c.5.3.3,183,201,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.5.3.3&display=Crit&charenc=gcirc#,,
7,:,a? mu-da-an-a??-ta,a[arm] a?[measure],c.1.2.2,68,A74,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.1.2.2&display=Crit&charenc=gcirc#,,
25,:,a? mu-da-a??,a[arm] a?[measure],c.2.1.7,395,397,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.1.7&display=Crit&charenc=gcirc#,,
26,:,a? mu-da-a??,a[arm] a?[measure],c.2.1.7,399,401,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.1.7&display=Crit&charenc=gcirc#,,
3,:,a? mu-da-a??,a[arm] a?[measure],etcsri/Q000377,122,Cylinder A xv 11,,,
4,:,a? mu-da-a??,a[arm] a?[measure],etcsri/Q000377,126,Cylinder A xv 15,,,
8,:,a? mu-da-a??-e,a[arm] a?[measure],c.1.2.2,83,A89,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.1.2.2&display=Crit&charenc=gcirc#,,
116,:,a? mu-e-da-an-a??-e,a[arm] a?[measure],c.5.3.3,199,217,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.5.3.3&display=Crit&charenc=gcirc#,,
80,:,a? mu-e-da-a??-ta,a[arm] a?[measure],c.3.1.15,39,39,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.3.1.15&display=Crit&charenc=gcirc#,,
11,:,a? mu-e-ši-ib-a??,a[arm] a?[measure],c.1.6.2,53,52,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.1.6.2&display=Crit&charenc=gcirc#,,
28,:,a? mu-un-a??-eš-a-ba,a[arm] a?[measure],c.2.2.2,143,141,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.2.2&display=Crit&charenc=gcirc#,,
2,:,a? mu-un-da-an-a??,a[arm] a?[measure],c.1.1.3,40,40,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.1.1.3&display=Crit&charenc=gcirc#,,
34,:,a? mu-un-da-a??-am?,a[arm] a?[measure],c.2.2.4,163,163,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.2.4&display=Crit&charenc=gcirc#,,
36,:,a? nu-mu-da-an-a??-e,a[arm] a?[measure],c.2.4.1.1,31,31,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.4.1.1&display=Crit&charenc=gcirc#,,
3,:,a? ša-ma-ni-ib-a??-e,a[arm] a?[measure],c.1.1.3,115,115,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.1.1.3&display=Crit&charenc=gcirc#,,
4,:,a? ša-mu-un-a??-e,a[arm] a?[measure],c.1.1.3,170,170,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.1.1.3&display=Crit&charenc=gcirc#,,
105,:gal[big],a? gal a??-e-zu,a[arm] a?[measure],c.4.27.02,95,D17,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.4.27.02&display=Crit&charenc=gcirc#,gal[big],
106,:gal[big],a? gal mu-da-a??-e,a[arm] a?[measure],c.4.28.1,86,86,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.4.28.1&display=Crit&charenc=gcirc#,gal[big],
40,:kilulak[murder],a? ki-lul-la nu-mu-ši-a??-?a?,a[arm] a?[measure],c.2.4.2.02,251,251,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.4.2.02&display=Crit&charenc=gcirc#,kilulak[murder],
55,:ni?hulu[evil] dim[create],a? ni??-hul dim?-ma ib?-ši-a??-e-a,a[arm] a?[measure],c.2.5.4.19,29,29,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.5.4.19&display=Crit&charenc=gcirc#,ni?hulu[evil] dim[create],
6,:ni?hulu[evil] dim[create],a? ni??-hul dim?-ma ib?-ši-a??-?a?-a,a[arm] a?[measure],etcsri/Q001943,6,6,,ni?hulu[evil] dim[create],
98,:nun[prince],a? nun a??-e,a[arm] a?[measure],c.4.13.10,22,22,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.4.13.10&display=Crit&charenc=gcirc#,nun[prince],
41,:u?[people] lu[abundant],a? u?? lu-a-na mu-da-an-a??-?a?-ta,a[arm] a?[measure],c.2.4.2.02,265,265,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.4.2.02&display=Crit&charenc=gcirc#,u?[people] lu[abundant],
1239,-ra-na:,dur?-ra-na mu-un-?a?-?a?,dur[buttocks] ?ar[place],c.4.08.20,11,11,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.4.08.20&display=Crit&charenc=gcirc#,,-ra-na
1233,-zu:,dur?-zu bi?-in-?ar,dur[buttocks] ?ar[place],c.4.07.4,30,30,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.4.07.4&display=Crit&charenc=gcirc#,,-zu
1234,-zu:,dur?-zu bi?-?ar,dur[buttocks] ?ar[place],c.4.07.4,51,51,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.4.07.4&display=Crit&charenc=gcirc#,,-zu
1235,-zu:,dur?-zu bi?-?ar,dur[buttocks] ?ar[place],c.4.07.4,65,65,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.4.07.4&display=Crit&charenc=gcirc#,,-zu
1236,-zu:,dur?-zu bi?-?ar,dur[buttocks] ?ar[place],c.4.07.4,87,87,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.4.07.4&display=Crit&charenc=gcirc#,,-zu
